code,indicateurId,chart,Indicateur disponible,ODD,Cible
1,1.1.1,,Oui,ODD 1 : Éliminer la pauvreté sous toutes ses formes,"1.1 D’ici à 2030, éliminer complètement l’extrême pauvreté dans le monde entier (s’entend actuellement du fait de vivre avec moins de 5,7 dollar par jour)"
1,1.2.1,bar,Oui,ODD 1 : Éliminer la pauvreté sous toutes ses formes,"1.2 D’ici à 2030, réduire de moitié au moins la proportion d’hommes, de femmes et d’enfants de tous âges souffrant d’une forme ou l’autre de pauvreté, telle que définie par chaque pays"
1,1.3.1,line,Oui,ODD 1 : Éliminer la pauvreté sous toutes ses formes,"1.3 Mettre en place des systèmes et mesures de protection sociale pour tous, adaptés au contexte national, y compris des socles de protection sociale, et faire en sorte que, d’ici à 2030, une part importante des pauvres et des personnes vulnérables en bénéficient"
1,1.4.1,bar,Oui,ODD 1 : Éliminer la pauvreté sous toutes ses formes,"1.4 D’ici à 2030, faire en sorte que tous les hommes et les femmes, en particulier les pauvres et les personnes vulnérables, aient les mêmes droits aux ressources économiques et qu’ils aient accès aux services de base, à la propriété foncière, au contrôle des terres et à d’autres formes de propriété, à l’héritage, aux ressources naturelles et à des nouvelles technologies et des services financiers adaptés à leurs besoins, y compris la microfinance"
1,1.5.1,,Non,ODD 1 : Éliminer la pauvreté sous toutes ses formes,"1.5 D’ici à 2030, renforcer la résilience des pauvres et des personnes en situation vulnérable et réduire leur exposition aux phénomènes climatiques extrêmes et à d’autres chocs et catastrophes d’ordre économique, social ou environnemental et leur vulnérabilité"
1,1.5.4,,Non,ODD 1 : Éliminer la pauvreté sous toutes ses formes,"1.5 D’ici à 2030, renforcer la résilience des pauvres et des personnes en situation vulnérable et réduire leur exposition aux phénomènes climatiques extrêmes et à d’autres chocs et catastrophes d’ordre économique, social ou environnemental et leur vulnérabilité"
1,1.a.2,,Oui,ODD 1 : Éliminer la pauvreté sous toutes ses formes,"1.a Garantir une mobilisation importante de ressources provenant de sources multiples, y compris par le renforcement de la coopération pour le développement, afin de doter les pays en développement, en particulier les pays les moins avancés, de moyens adéquats et prévisibles de mettre en œuvre des programmes et politiques visant à mettre fin à la pauvreté sous toutes ses formes"
1,1.b.1,line,Oui,ODD 1 : Éliminer la pauvreté sous toutes ses formes,"1.b Mettre en place aux niveaux national, régional et international des cadres d’action viables, fondés sur des stratégies de développement favorables aux pauvres et soucieuses de la problématique hommes-femmes, afin d’accélérer l’investissement dans des mesures d’élimination de la pauvreté"
2,2.1.1,line,Oui,"ODD 2 : Éliminer la faim, assurer la sécurité alimentaire, améliorer la nutrition et promouvoir  l’agriculture durable","2.1 D’ici à 2030, éliminer la faim et faire en sorte que chacun, en particulier les pauvres et les personnes en situation vulnérable, y compris les nourrissons, ait accès toute l’année à une alimentation saine, nutritive et suffisante"
2,2.1.2,,Non,"ODD 2 : Éliminer la faim, assurer la sécurité alimentaire, améliorer la nutrition et promouvoir  l’agriculture durable","2.1 D’ici à 2030, éliminer la faim et faire en sorte que chacun, en particulier les pauvres et les personnes en situation vulnérable, y compris les nourrissons, ait accès toute l’année à une alimentation saine, nutritive et suffisante"
2,2.2.1,lineGroupDouble,Oui,"ODD 2 : Éliminer la faim, assurer la sécurité alimentaire, améliorer la nutrition et promouvoir  l’agriculture durable","2.2 D’ici à 2030, mettre fin à toutes les formes de malnutrition, y compris en atteignant d’ici à 2025 les objectifs arrêtés à l’échelle internationale relatifs aux retards de croissance et à l’émaciation chez les enfants de moins de 5 ans, et répondre aux besoins nutritionnels des adolescentes, des femmes enceintes ou allaitantes et des personnes âgées"
2,2.2.2,lineGroupDouble,Oui,"ODD 2 : Éliminer la faim, assurer la sécurité alimentaire, améliorer la nutrition et promouvoir  l’agriculture durable","2.2 D’ici à 2030, mettre fin à toutes les formes de malnutrition, y compris en atteignant d’ici à 2025 les objectifs arrêtés à l’échelle internationale relatifs aux retards de croissance et à l’émaciation chez les enfants de moins de 5 ans, et répondre aux besoins nutritionnels des adolescentes, des femmes enceintes ou allaitantes et des personnes âgées"
2,2.2.3,,Oui,"ODD 2 : Éliminer la faim, assurer la sécurité alimentaire, améliorer la nutrition et promouvoir  l’agriculture durable","2.2 D’ici à 2030, mettre fin à toutes les formes de malnutrition, y compris en atteignant d’ici à 2025 les objectifs arrêtés à l’échelle internationale relatifs aux retards de croissance et à l’émaciation chez les enfants de moins de 5 ans, et répondre aux besoins nutritionnels des adolescentes, des femmes enceintes ou allaitantes et des personnes âgées"
2,2.3.1,bar,Oui,"ODD 2 : Éliminer la faim, assurer la sécurité alimentaire, améliorer la nutrition et promouvoir  l’agriculture durable","2.3 D’ici à 2030, doubler la productivité agricole et les revenus des petits producteurs alimentaires, en particulier des femmes, des autochtones, des exploitants familiaux, des éleveurs et des pêcheurs, y compris en assurant l’égalité d’accès aux terres, aux autres ressources productives et facteurs de production, au savoir, aux services financiers, aux marchés et aux possibilités d’ajout de valeur et d’emplois autres qu’agricoles"
2,2.3.2,,Oui,"ODD 2 : Éliminer la faim, assurer la sécurité alimentaire, améliorer la nutrition et promouvoir  l’agriculture durable","2.3 D’ici à 2030, doubler la productivité agricole et les revenus des petits producteurs alimentaires, en particulier des femmes, des autochtones, des exploitants familiaux, des éleveurs et des pêcheurs, y compris en assurant l’égalité d’accès aux terres, aux autres ressources productives et facteurs de production, au savoir, aux services financiers, aux marchés et aux possibilités d’ajout de valeur et d’emplois autres qu’agricoles"
2,2.4.1,,Oui,"ODD 2 : Éliminer la faim, assurer la sécurité alimentaire, améliorer la nutrition et promouvoir  l’agriculture durable","2.4 D’ici à 2030, assurer la viabilité des systèmes de production alimentaire et mettre en œuvre des pratiques agricoles résilientes qui permettent d’accroître la productivité et la production, contribuent à la préservation des écosystèmes, renforcent la capacité d’adaptation aux changements climatiques, aux phénomènes météorologiques extrêmes, à la sécheresse, aux inondations et à d’autres catastrophes et améliorent progressivement la qualité des terres et des sols  "
2,2.5.1,,Non,"ODD 2 : Éliminer la faim, assurer la sécurité alimentaire, améliorer la nutrition et promouvoir  l’agriculture durable","2.5. Préserver la diversité génétique des semences, des cultures et des animaux d’élevage ou domestiqués et des espèces sauvages apparentées d’ici à 2020."
2,2.5.2,,Non,"ODD 2 : Éliminer la faim, assurer la sécurité alimentaire, améliorer la nutrition et promouvoir  l’agriculture durable","2.5. Préserver la diversité génétique des semences, des cultures et des animaux d’élevage ou domestiqués et des espèces sauvages apparentées d’ici à 2020."
3,3.1.1,line,Oui,ODD 3 : Permettre à tous de vivre en bonne santé et promouvoir le bien-être de tous à tout âge ,"3.1 D’ici à 2030, faire passer le taux mondial de mortalité maternelle au-dessous de 70 pour 100 000 naissances vivantes"
3,3.1.2,bar,Oui,ODD 3 : Permettre à tous de vivre en bonne santé et promouvoir le bien-être de tous à tout âge ,"3.1 D’ici à 2030, faire passer le taux mondial de mortalité maternelle au-dessous de 70 pour 100 000 naissances vivantes"
